id,transaction_id,account_address,mint_address,pre_balance,post_balance,balance_delta
5587,3985,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901269292,8901258607,-10685
5586,3984,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901279970,8901269292,-10678
5585,3983,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901291006,8901279970,-11036
5584,3982,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181248543,181242787,-5756
5583,3981,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181254120,181248543,-5577
5582,3980,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181260062,181254120,-5942
5581,3979,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901302054,8901291006,-11048
5580,3978,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181265909,181260062,-5847
5579,3977,2ovKxH5RqRLhDVHutbGxkcCotrvCx9UgP2HiqaAzTK2o,,0,1100000,1100000
5578,3977,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901318875,8900213875,-1105000
5577,3976,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212165719,4212160719,-5000
5576,3975,3AVi9Tg9Uo68tJfuvoKvqKNWKkC5wPdSSdeBnizKZ6jT,,952471,953704,1233
5575,3975,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212171952,4212165719,-6233
5574,3974,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212178484,4212171952,-6532
5573,3973,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901329913,8901318875,-11038
5572,3972,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181271521,181265909,-5612
5571,3971,HFqU5x63VTqvQss8hp11i4wVV8bD44PvwucfZ2bU7gRe,,2033686,2035316,1630
5570,3971,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212185114,4212178484,-6630
5569,3970,FpvE9rnLTParcatDGGMvzXk4cbu7i5EUbuMdJSB9o7TA,,0,1100000,1100000
5568,3970,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901346734,8900241734,-1105000
5567,3969,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901366591,8901346734,-19857
5566,3968,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181277513,181271521,-5992
5565,3967,77777T2qnynHFsA63FyfY766ciBTXizavU1f5HeZXwN,,4212191727,4212185114,-6613
5564,3966,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901386437,8901366591,-19846
5563,3965,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901406276,8901386437,-19839
5562,3964,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901426110,8901406276,-19834
5561,3963,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181283296,181277513,-5783
5560,3962,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,181289159,181283296,-5863
5559,3961,Aj4sVu2MubU8YdLoYQPCJKqyTUN7yjJZC8EZCY7Nrj6z,,0,1100000,1100000
5558,3961,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8901442133,8900337133,-1105000
5557,3960,E1dah2nZsQ5uS7cKjGitXaciThU7wL6WiVuxmkMryNb2,,0,1100000,1100000
5556,3960,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8903959977,8902854977,-1105000
5555,3959,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1803689261,1803681389,-7872
5554,3958,3KvsoNxgn64nsuHKPBHQJsguef3DgEkP2izE49k6CSAZ,,1803697464,1803689261,-8203
5553,3957,8L35xGZBhgoBe5it7nJQtXWZJwqSRVeAf9nzw8MQHsUJ,,0,1100000,1100000
5552,3957,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8921655253,8920550253,-1105000
5551,3956,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8921836068,8921828667,-7401
5550,3955,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,192000043,191994338,-5705
5549,3954,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,192947050,192941104,-5946
5548,3953,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8925048284,8925040886,-7398
5547,3952,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,192952605,192947050,-5555
5546,3951,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8925055685,8925048284,-7401
5545,3950,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8925063084,8925055685,-7399
5544,3949,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,192958532,192952605,-5927
5543,3948,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,192964370,192958532,-5838
5542,3947,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,8933779071,8933771674,-7397
5541,3946,99999ocGGdLH45WazXhY3kmLc98iSNm7bL2nTH15TwTA,,197641958,197636327,-5631
